Agglo;Habitants;Dpt;Zone;Cambriolage;VolVoiture
Lesparre Medoc;95862;33;Gendarmerie;4.2;1.38
Levallois Perret;64253;92;Police;2.83;0.75
Libourne;149056;33;Gendarmerie;4.92;1.29
Lille;574448;59;Police;9.17;3.86
Lille;106580;59;Gendarmerie;4.62;1.09
Limoges;181994;87;Police;5.04;0.91
Limoges;88512;87;Gendarmerie;3.62;0.42
Limoux;48382;11;Gendarmerie;3.8;0.64
Lisieux;25506;14;Police;4.98;2.78
Lisieux;50053;14;Gendarmerie;2.78;0.6
Livry Gargan;52993;93;Police;6.43;4.62
Loches;84500;37;Gendarmerie;4.76;0.53
Lodeve;84068;34;Gendarmerie;5.04;1.8
Longjumeau;39845;91;Police;4.34;3.74
Longwy;37743;54;Police;9.14;3.13
Lons le Saunier;22280;39;Police;4.76;1.48
Lons le Saunier;73826;39;Gendarmerie;4.32;0.74
Lorient;120753;56;Police;3.98;0.9
Lorient;185691;56;Gendarmerie;5.46;1.14
Louhans;54836;71;Gendarmerie;4.58;1.24
Lourdes;14743;65;Police;8.34;1.09
Louviers;36898;27;Police;4.58;2.47
Louviers;88393;27;Gendarmerie;4.06;1.28
Luce;96946;28;Gendarmerie;6.29;1.97
Lunel;112806;34;Gendarmerie;6.29;2.81
Luneville;23142;54;Police;8.04;2.2
Luneville;59181;54;Gendarmerie;3.33;0.57
Lure;99393;70;Gendarmerie;4.46;0.76
Lyon;1055378;69;Police;7.69;2.52
Lyon;83994;69;Gendarmerie;6.39;1.5
Macon;42748;71;Police;5.15;1.03
Macon;70307;71;Gendarmerie;5.56;1.14
Maisons Alfort;52943;94;Police;6.01;1.95
Maisons Laffitte;29232;78;Police;5.88;1.23
Mamers;86132;72;Gendarmerie;3.69;0.63
Mamoudzou;53022;976;Police;15.79;0.66
Mamoudzou;133430;976;Gendarmerie;5.62;0.55
Manosque;22105;4;Police;16.65;3.35
Mans ;195703;72;Gendarmerie;4.55;0.65
Mantes la Jolie;114640;78;Police;6.99;3.06
Mantes la Jolie;95307;78;Gendarmerie;6.42;3.83
Marignane;50064;13;Police;8.99;5.49
Marles les Mines;24240;62;Police;3.34;0.29
Marly le Roi;33431;78;Police;4.19;1.68
Marmande;82521;47;Gendarmerie;5.36;0.95
Marseille;892373;13;Police;9.6;4.82
Martigues;91782;13;Police;12.88;5.12
Massy;48063;91;Police;5.37;2.66
Maubeuge;73750;59;Police;5.91;1.61
Mauleon Licharre;39081;64;Gendarmerie;1.56;0.28
Mauriac;29831;15;Gendarmerie;1.27;0.17
Mayenne;90171;53;Gendarmerie;2.89;0.16
Mazamet;16454;81;Police;16.65;1.15
Meaux;77323;77;Police;4.57;2.3
Meaux;89977;77;Gendarmerie;4.66;5.13
Melun;128166;77;Police;6.1;1.86
Melun;64264;77;Gendarmerie;5.15;3.08
Mende;12140;48;Police;3.05;0.25
Mende;51649;48;Gendarmerie;2.85;0.39
Menton;54905;6;Police;5.54;1.48
Menton;30034;6;Gendarmerie;5.13;0.97
Meru;115918;60;Gendarmerie;5.96;2.47
Metz;187071;57;Police;6.28;1.66
Metz;125435;57;Gendarmerie;4.68;0.74
Meudon;45058;92;Police;5.04;2.04
Meylan;174061;38;Gendarmerie;7.82;2.11
Millau;23361;12;Police;4.79;0.9
Millau;47537;12;Gendarmerie;2.69;0.44
Mirande;40455;32;Gendarmerie;3.09;0.3
Mitry Mory;25860;77;Police;7.54;7.35
Moissy Cramayel;124504;77;Police;7.45;3.05
Molsheim;119013;67;Gendarmerie;2.25;0.36
Mont de Marsan;40149;40;Police;3.89;1
Mont de Marsan;76208;40;Gendarmerie;3.83;0.34
Montargis;45737;45;Police;7.78;2.58
Montargis;78530;45;Gendarmerie;8.88;1.8
Montauban;56271;82;Police;10.31;2.01
Montauban;107886;82;Gendarmerie;5.1;1.03
Montbard;64149;21;Gendarmerie;3.74;0.56
Montbeliard;68752;25;Police;4.87;1.19
Montbeliard;109448;25;Gendarmerie;3.75;0.64
Montbrison;181427;42;Gendarmerie;3.7;0.98
Montceau les Mines;39427;71;Police;5.71;0.99
Montdidier;73201;80;Gendarmerie;7.25;2.35
Montelimar;36428;26;Police;10.62;5.46
